"dt","average_temperature","country"
"2013",27.785,"Federated States Of Micronesia"
"2013",27.825,"Federated States Of Micronesia"
"2013",27.307,"Fiji"
"2013",26.975,"Fiji"
"2013",26.96,"Fiji"
"2013",26.802,"Fiji"
"2013",25.755,"Fiji"
"2013",25.101,"Fiji"
"2013",24.196,"Fiji"
"2013",24.435,"Fiji"
"2013",-8.621,"Finland"
"2013",-6.349,"Finland"
"2013",-10.168,"Finland"
"2013",0.458,"Finland"
"2013",10.42,"Finland"
"2013",15.724,"Finland"
"2013",15.937,"Finland"
"2013",15.112,"Finland"
"2013",3.413,"France (Europe)"
"2013",2.435,"France (Europe)"
"2013",5.542,"France (Europe)"
"2013",9.61,"France (Europe)"
"2013",11.476,"France (Europe)"
"2013",16.328,"France (Europe)"
"2013",21.291,"France (Europe)"
"2013",19.471,"France (Europe)"
"2013",7.235,"France"
"2013",6.385,"France"
"2013",9.041,"France"
"2013",12.32,"France"
"2013",13.763,"France"
"2013",17.75,"France"
"2013",21.817,"France"
"2013",20.366,"France"
"2013",26.369,"French Guiana"
"2013",25.946,"French Guiana"
"2013",26.735,"French Guiana"
"2013",26.473,"French Guiana"
"2013",26.379,"French Guiana"
"2013",26.619,"French Guiana"
"2013",26.542,"French Guiana"
"2013",27.168,"French Guiana"
"2013",27.282,"French Polynesia"
"2013",27.89,"French Polynesia"
"2013",28.342,"French Polynesia"
"2013",27.746,"French Polynesia"
"2013",27.326,"French Polynesia"
"2013",26.347,"French Polynesia"
"2013",25.252,"French Polynesia"
"2013",25.078,"French Polynesia"
"2013",8.976,"French Southern And Antarctic Lands"
"2013",8.591,"French Southern And Antarctic Lands"
"2013",8.589,"French Southern And Antarctic Lands"
"2013",6.48,"French Southern And Antarctic Lands"
"2013",4.125,"French Southern And Antarctic Lands"
"2013",2.873,"French Southern And Antarctic Lands"
"2013",2.993,"French Southern And Antarctic Lands"
"2013",2.857,"French Southern And Antarctic Lands"
"2013",25.446,"Gabon"
"2013",26.368,"Gabon"
"2013",25.904,"Gabon"
"2013",25.753,"Gabon"
"2013",25.43,"Gabon"
"2013",23.909,"Gabon"
"2013",22.836,"Gabon"
"2013",23.062,"Gabon"
"2013",24.734,"Gambia"
"2013",27.519,"Gambia"
"2013",29.944,"Gambia"
"2013",29.9,"Gambia"
"2013",31.383,"Gambia"
"2013",30.449,"Gambia"
"2013",28.92,"Gambia"
"2013",26.946,"Gambia"
"2013",11.839,"Gaza Strip"
"2013",13.718,"Gaza Strip"
"2013",16.641,"Gaza Strip"
"2013",18.716,"Gaza Strip"
"2013",23.821,"Gaza Strip"
"2013",26.016,"Gaza Strip"
"2013",27.434,"Gaza Strip"
"2013",28.073,"Gaza Strip"
"2013",-0.732,"Georgia"
"2013",2.212,"Georgia"
"2013",3.934,"Georgia"
"2013",9.558,"Georgia"
"2013",14.751,"Georgia"
"2013",17.417,"Georgia"
"2013",19.045,"Georgia"
"2013",19.308,"Georgia"
"2013",-0.0670000000000001,"Germany"
"2013",-0.731,"Germany"
"2013",0.394,"Germany"
"2013",8.213,"Germany"
"2013",12.151,"Germany"
"2013",15.927,"Germany"
"2013",19.762,"Germany"
"2013",18.233,"Germany"
"2013",27.39,"Ghana"
"2013",29.281,"Ghana"
"2013",30.265,"Ghana"
"2013",29.079,"Ghana"
"2013",28.167,"Ghana"
"2013",26.859,"Ghana"
"2013",25.649,"Ghana"
"2013",25.05,"Ghana"
"2013",6.927,"Greece"
"2013",8.479,"Greece"
"2013",10.917,"Greece"
"2013",15.167,"Greece"
"2013",20.504,"Greece"
"2013",23.099,"Greece"
"2013",25.55,"Greece"
"2013",26.585,"Greece"
"2013",-26.875,"Greenland"
"2013",-29.726,"Greenland"
"2013",-24.419,"Greenland"
"2013",-20.73,"Greenland"
"2013",-12.541,"Greenland"
"2013",-3.474,"Greenland"
"2013",-1.292,"Greenland"
"2013",-4.221,"Greenland"
"2013",26.579,"Grenada"
"2013",26.887,"Grenada"
"2013",27.092,"Grenada"
"2013",27.376,"Grenada"
"2013",28.183,"Grenada"
"2013",28.027,"Grenada"
"2013",28.351,"Grenada"
"2013",28.408,"Grenada"
"2013",25.718,"Guadeloupe"
"2013",25.739,"Guadeloupe"
"2013",26.028,"Guadeloupe"
"2013",26.515,"Guadeloupe"
"2013",27.698,"Guadeloupe"
"2013",28.238,"Guadeloupe"
"2013",28.548,"Guadeloupe"
"2013",28.77,"Guadeloupe"
"2013",26.043,"Guam"
"2013",26.169,"Guam"
"2013",27.432,"Guam"
"2013",28.341,"Guam"
"2013",28.779,"Guam"
"2013",28.858,"Guam"
"2013",28.068,"Guam"
"2013",27.581,"Guam"
"2013",21.927,"Guatemala"
"2013",22.927,"Guatemala"
"2013",23.181,"Guatemala"
"2013",25.596,"Guatemala"
"2013",25.704,"Guatemala"
"2013",25.048,"Guatemala"
"2013",24.588,"Guatemala"
"2013",23.996,"Guatemala"
"2013",25.655,"Guatemala"
"2013",7.299,"Guernsey"
"2013",5.317,"Guernsey"
"2013",5.694,"Guernsey"
"2013",8.453,"Guernsey"
"2013",10.126,"Guernsey"
"2013",13.531,"Guernsey"
"2013",18.371,"Guernsey"
"2013",17.638,"Guernsey"
"2013",25.2,"Guinea Bissau"
"2013",27.535,"Guinea Bissau"
"2013",29.253,"Guinea Bissau"
"2013",29.559,"Guinea Bissau"
"2013",29.962,"Guinea Bissau"
"2013",28.889,"Guinea Bissau"
"2013",27.132,"Guinea Bissau"
"2013",25.724,"Guinea Bissau"
"2013",24.741,"Guinea"
"2013",26.864,"Guinea"
"2013",29.065,"Guinea"
"2013",28.946,"Guinea"
"2013",28.179,"Guinea"
"2013",26.468,"Guinea"
"2013",24.911,"Guinea"
"2013",24.32,"Guinea"
"2013",26.639,"Guyana"
"2013",26.544,"Guyana"
"2013",27.134,"Guyana"
"2013",26.756,"Guyana"
"2013",26.621,"Guyana"
"2013",26.573,"Guyana"
"2013",26.473,"Guyana"
"2013",26.76,"Guyana"
"2013",25.273,"Haiti"
"2013",25.206,"Haiti"
"2013",25.329,"Haiti"
"2013",26.576,"Haiti"
"2013",27.425,"Haiti"
"2013",28.147,"Haiti"
"2013",28.226,"Haiti"
"2013",28.525,"Haiti"
"2013",28.577,"Haiti"
"2013",5.523,"Heard Island And Mcdonald Islands"
"2013",5.261,"Heard Island And Mcdonald Islands"
"2013",5.018,"Heard Island And Mcdonald Islands"
"2013",3.851,"Heard Island And Mcdonald Islands"
"2013",2.263,"Heard Island And Mcdonald Islands"
"2013",1.564,"Heard Island And Mcdonald Islands"
"2013",1.364,"Heard Island And Mcdonald Islands"
"2013",0.706,"Heard Island And Mcdonald Islands"
"2013",23.735,"Honduras"
"2013",24.679,"Honduras"
"2013",25.051,"Honduras"
"2013",27.504,"Honduras"
"2013",27.123,"Honduras"
"2013",25.956,"Honduras"
"2013",25.834,"Honduras"
"2013",24.92,"Honduras"
"2013",26.789,"Honduras"
"2013",16.318,"Hong Kong"
"2013",18.899,"Hong Kong"
"2013",20.852,"Hong Kong"
"2013",22.114,"Hong Kong"
"2013",26.183,"Hong Kong"
"2013",28.251,"Hong Kong"
"2013",28.386,"Hong Kong"
"2013",28.52,"Hong Kong"
"2013",-0.379,"Hungary"
"2013",1.662,"Hungary"
"2013",3.501,"Hungary"
"2013",12.229,"Hungary"
"2013",16.559,"Hungary"
"2013",19.95,"Hungary"
"2013",22.492,"Hungary"
"2013",22.398,"Hungary"
"2013",-0.519,"Iceland"
"2013",0.327,"Iceland"
"2013",-2.517,"Iceland"
"2013",-1.738,"Iceland"
"2013",3.023,"Iceland"
"2013",7.723,"Iceland"
"2013",8.849,"Iceland"
"2013",8.214,"Iceland"
"2013",17.16,"India"
"2013",20.243,"India"
"2013",24.575,"India"
"2013",27.981,"India"
"2013",31.014,"India"
"2013",28.766,"India"
"2013",27.012,"India"
"2013",26.555,"India"
"2013",26.403,"Indonesia"
"2013",26.209,"Indonesia"
"2013",26.934,"Indonesia"
"2013",26.628,"Indonesia"
"2013",26.818,"Indonesia"
"2013",26.881,"Indonesia"
"2013",25.902,"Indonesia"
